Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Raog | Nadraz | A Dark Hallway | Sun Oct 27 15:04:56 2002
Ghraag | Raog | Northern Section of the Sanctuary | Sun Oct 27 15:09:48 2002
Thomas | Raog | Eldritch Lane | Sun Oct 27 16:24:03 2002
Raog | Nadraz | The Mouth of a Cave | Sun Oct 27 16:30:47 2002
Fazed | Krollos | By the Temple Altar | Sun Oct 27 16:47:36 2002
Fazed | Malanduis | The Entrance | Sun Oct 27 16:54:13 2002
Soke | Malanduis | Black Hole | Sun Oct 27 16:56:51 2002
Fazed | Nadraz | The Dark Road | Sun Oct 27 17:02:07 2002
Thomas | Krollos | The ancient path | Sun Oct 27 17:22:15 2002
Raog | Nerazul | Bend in Hector Street | Sun Oct 27 19:13:58 2002
Selfren | Kaerk | The Main Street | Mon Oct 28 01:17:52 2002
Grish | Wrath | The Dark Road | Mon Oct 28 17:52:59 2002
Penz | Nadraz | At a muddy track | Mon Oct 28 18:49:48 2002
Nadraz | Toktamrsh | A dim trail in the dwarf forest | Mon Oct 28 18:53:16 2002
Erith | Malanduis | West Main Street | Mon Oct 28 20:40:44 2002
Icarus | Erith | The steep foothills | Mon Oct 28 21:03:49 2002
Joash | Krollos | Central main area of the Mausoleum. | Mon Oct 28 23:27:10 2002
Joash | Krollos | By the Temple Altar | Tue Oct 29 00:08:06 2002
Joash | Krollos | By the Temple Altar | Tue Oct 29 00:11:38 2002
Farticus | Kaerk | By the Temple Altar | Tue Oct 29 00:53:50 2002
Penz | Nadraz | By the Temple Altar | Tue Oct 29 01:06:13 2002
Bleeder | Xarius | Second Level | Tue Oct 29 12:18:03 2002
cloaked figure | Orduno | Inside the Eastern Gate of New Thalos | Tue Oct 29 12:20:27 2002
Xarius | Orduno | Market Square | Tue Oct 29 12:31:05 2002
Penz | Ghraag | The Temple Of Mota | Tue Oct 29 13:03:50 2002
Penz | Gracklin | By the Temple Altar | Tue Oct 29 13:11:18 2002
Gracklin | Ghraag | Pig pen | Tue Oct 29 13:20:21 2002
Xarius | Ghraag | Before the Gates of Midgaard | Tue Oct 29 13:25:52 2002
Penz | Nadraz | The Common Square | Tue Oct 29 14:28:51 2002
Penz | Rinaldi | At a muddy track | Tue Oct 29 14:58:48 2002
Denglod | Ghraag | Village road | Tue Oct 29 15:51:21 2002
Orduno | Ghraag | At a muddy track | Tue Oct 29 17:02:30 2002
Denglod | Ghraag | At a muddy track | Tue Oct 29 17:02:36 2002
Denglod | Ghraag | At a muddy track | Tue Oct 29 17:06:02 2002
Malanduis | Penz | Upon the Grassy Hills of the Downs | Tue Oct 29 18:57:02 2002
Penz | Bluee | The Temple Of Mota | Tue Oct 29 19:07:17 2002
Penz | Bluee | The Temple Of Mota | Tue Oct 29 19:10:46 2002
Penz | Ghraag | The Cross Roads | Tue Oct 29 19:17:29 2002
Penz | Ghraag | Market Square | Tue Oct 29 19:23:27 2002
Penz | Ghraag | The Cross Roads | Tue Oct 29 19:34:01 2002
Penz | Malanduis | The Cross Roads | Tue Oct 29 19:37:38 2002
Kalystr | Ghraag | Before the Gates of Midgaard | Tue Oct 29 19:39:15 2002
Penz | Bluee | Main Street | Tue Oct 29 19:41:11 2002
Kalystr | Bluee | A Dirt Path Through the Downs | Tue Oct 29 19:44:13 2002
Kalystr | Malanduis | Inside the West Gate of Midgaard | Tue Oct 29 19:48:32 2002
Kalystr | Malanduis | Market Square | Tue Oct 29 19:54:29 2002
Kalystr | Zauvolt | Market Square | Tue Oct 29 20:01:19 2002
Kalystr | Bluee | Market Square | Tue Oct 29 20:08:15 2002
Penz | Erith | A hallway in the castle | Wed Oct 30 01:00:28 2002
Grumb | Rinaldi | The Entrance | Wed Oct 30 10:53:35 2002
Bastiche | Xarius | Dragon Sea | Wed Oct 30 12:33:41 2002
Denglod | Ghraag | The Temple Square | Wed Oct 30 16:21:13 2002
Twist | Ghraag | At a muddy track | Wed Oct 30 16:23:27 2002
Twist | Twist | At a muddy track | Wed Oct 30 16:51:50 2002
Twist | Griffiths | The village shrine | Wed Oct 30 16:59:31 2002
Griffiths | Penz | Grassy fields | Wed Oct 30 17:04:24 2002
Penz | Ghraag | At a muddy track | Wed Oct 30 17:26:24 2002
Twist | Ghraag | At a muddy track | Wed Oct 30 17:27:14 2002
Aurelius | Griffiths | Outside the Entrance to the Golden Citadel | Wed Oct 30 17:40:25 2002
Arielle | Griffiths | A Hallway | Wed Oct 30 17:53:38 2002
Toktamrsh | Malanduis | The Mouth of a Cave | Wed Oct 30 18:34:38 2002
Corvus | Ghraag | Cave Entrance | Wed Oct 30 18:37:31 2002
Toktamrsh | Ghraag | The Mouth of a Cave | Wed Oct 30 18:38:21 2002
Ghraag | Toktamrsh | By the beautiful waterfall | Wed Oct 30 18:46:03 2002
Ghraag | Penz | By the beautiful waterfall | Wed Oct 30 18:52:25 2002
cloaked figure | Penz | At a muddy track | Wed Oct 30 18:53:18 2002
Toktamrsh | Ghraag | At a muddy track | Wed Oct 30 19:00:56 2002
Corvus | Nadraz | A Trail | Wed Oct 30 19:03:10 2002
Panoquin | Ghraag | The Dark Road | Wed Oct 30 19:07:36 2002
Toktamrsh | Ghraag | The Mouth of a Cave | Wed Oct 30 19:07:54 2002
Corvus | Malanduis | The Mystical Path | Wed Oct 30 19:15:38 2002
Forsilith | Penz | At a muddy track | Wed Oct 30 20:04:33 2002
Lasher | Sylkorian | The village shrine | Wed Oct 30 20:09:33 2002
Mishraan | Penz | The Temple Of Mota | Wed Oct 30 22:25:51 2002
Mishraan | Thomas | By the Temple Altar | Wed Oct 30 22:33:23 2002
Penz | Ghraag | The dwarf forest | Wed Oct 30 23:10:00 2002
Denglod | Razag | The Cross Roads | Thu Oct 31 09:30:02 2002
Corvus | Crenshaw | Deep in the quagmire | Thu Oct 31 14:36:00 2002
Corvus | Terax | The Library | Thu Oct 31 18:05:35 2002
Terax | Kaerk | A wet and damp trail | Thu Oct 31 18:19:54 2002
Corvus | Terax | Outside the Tower | Thu Oct 31 18:40:03 2002
Corvus | Ghraag | The Mouth of a Cave | Thu Oct 31 18:55:05 2002
Corvus | Ghraag | The Dark Road | Thu Oct 31 18:56:24 2002
Corvus | Ghraag | The Tower | Thu Oct 31 18:57:55 2002
Corvus | Ghraag | The Mouth of a Cave | Thu Oct 31 19:00:49 2002
Thomas | Toktamrsh | A valley in the dark dwarf forest | Thu Oct 31 19:27:04 2002
Kaerk | Narzalius | The Inner Gates | Thu Oct 31 20:05:02 2002
Ilaffatu | Toktamrsh | Grassy fields | Thu Oct 31 21:42:24 2002
Duff | Twist | Village road | Thu Oct 31 21:42:48 2002
Ilaffatu | Toktamrsh | The village shrine | Thu Oct 31 21:43:49 2002
Twist | Duff | Village road | Thu Oct 31 21:47:32 2002
Duff | Twist | Grime's forge | Thu Oct 31 21:51:51 2002
Duff | Ghraag | The Temple Of Mota | Thu Oct 31 21:56:15 2002
Toktamrsh | Terax | A Mossy Trail Through the Thick Underwood | Thu Oct 31 23:25:55 2002
Joash | Terax | Central main area of the Mausoleum. | Thu Oct 31 23:37:51 2002
Joash | Toktamrsh | Main Street | Thu Oct 31 23:55:20 2002
Toktamrsh | Terax | Main Street | Thu Oct 31 23:57:58 2002
Joash | Terax | By the Temple Altar | Fri Nov  1 00:00:17 2002
Beer | Terax | The Library | Fri Nov  1 00:02:47 2002
Toktamrsh | Razag | Standing in the Courtyard | Fri Nov  1 15:07:09 2002
Sylkorian | Razag | Standing in the Courtyard | Fri Nov  1 15:07:21 2002
Toktamrsh | Razag | The Inner Gates | Fri Nov  1 15:19:59 2002
Sycho | Razag | Standing in the Courtyard | Fri Nov  1 15:20:39 2002
Toktamrsh | Razag | Standing in the Courtyard | Fri Nov  1 15:31:19 2002
Toktamrsh | Razag | The Inner Gates | Fri Nov  1 15:35:47 2002
Toktamrsh | Aino | At a muddy track | Fri Nov  1 15:42:50 2002
Benius | Beer | Steep slope | Fri Nov  1 20:08:56 2002
Beer | Zrialynith | The Inner Gates | Fri Nov  1 20:36:16 2002
Gawaaiin | Zrialynith | Inside the East Gate of Midgaard | Fri Nov  1 20:40:14 2002
Beer | Rinaldi | The Big Intersection | Fri Nov  1 21:17:51 2002
Griffiths | Toktamrsh | In the air... | Fri Nov  1 21:48:39 2002
Toktamrsh | Zrialynith | Before the Imperial Road | Fri Nov  1 23:18:33 2002
Laearrist | Laearrist | At a muddy track | Sat Nov  2 03:04:36 2002
Chaz | Zrialynith | Fourth Level | Sat Nov  2 10:45:34 2002
Toktamrsh | Crenshaw | The village shrine | Sat Nov  2 14:20:23 2002
Crenshaw | Toktamrsh | By the beautiful waterfall | Sat Nov  2 14:21:47 2002
Zrialynith | Toktamrsh | Grassy fields | Sat Nov  2 14:21:58 2002
Toktamrsh | Ghraag | A Mountain Path | Sat Nov  2 14:45:04 2002
Laearrist | Ghraag | A Rocky Trail Through the Highlands | Sat Nov  2 14:58:24 2002
Zealan | Ghraag | Labyrinth of the Underworld | Sat Nov  2 15:00:46 2002
Tybalt | Laearrist | Main Street | Sat Nov  2 15:15:40 2002
Nesquick | Zrialynith | The Inner Gates | Sat Nov  2 16:25:46 2002
Nesquick | Zrialynith | Standing in the Courtyard | Sat Nov  2 16:32:00 2002
Endus | Toktamrsh | Entering the village | Sat Nov  2 17:08:05 2002
Endus | Zrialynith | Wall Road | Sat Nov  2 17:17:06 2002
Endus | Zrialynith | The Inner Gates | Sat Nov  2 17:27:14 2002
Endus | Zrialynith | The Inner Gates | Sat Nov  2 17:55:36 2002
Beer | Ghraag | The Entrance | Sat Nov  2 18:14:33 2002
Beer | Endus | The Entrance | Sat Nov  2 19:02:48 2002
Endus | Krollos | The dwarf forest | Sat Nov  2 19:09:53 2002
Beer | Krollos | In the Shaft from the Dragon Chamber | Sat Nov  2 19:16:27 2002
Endus | Krollos | A rough trail | Sat Nov  2 19:19:45 2002
Zrialynith | Endus | The village shrine | Sat Nov  2 19:26:37 2002
Beer | Endus | Grassy fields | Sat Nov  2 19:33:25 2002
Zrialynith | Endus | Grassy fields | Sat Nov  2 19:34:05 2002
Zrialynith | Endus | A dusty path | Sat Nov  2 19:37:52 2002
Endus | Krollos | A valley in the dark dwarf forest | Sat Nov  2 19:41:34 2002
Radish | Krollos | On a windy walkway | Sat Nov  2 19:48:05 2002
Radish | Radish | The fireplace | Sat Nov  2 20:12:56 2002
Radish | Radish | By the Temple Altar | Sat Nov  2 20:13:04 2002
Radish | Radish | By the Temple Altar | Sat Nov  2 20:13:13 2002
Radish | Radish | By the Temple Altar | Sat Nov  2 20:13:29 2002
Radish | Radish | By the Temple Altar | Sat Nov  2 20:13:44 2002
Radish | Endus | By the Temple Altar | Sat Nov  2 20:18:36 2002
Volgrath | Endus | The Temple Of Mota | Sat Nov  2 20:34:03 2002
Laearrist | Endus | A bend in the dim trail in the dwarf forest | Sat Nov  2 20:38:49 2002
Thyntos | Thyntos | The Mouth of a Cave | Sat Nov  2 20:40:07 2002
Laearrist | Endus | At a muddy track | Sat Nov  2 20:41:07 2002
Laearrist | Znerob | The village shrine | Sat Nov  2 20:42:20 2002
Laearrist | Znerob | Village road | Sat Nov  2 20:44:30 2002
Laearrist | Endus | Village road | Sat Nov  2 20:45:27 2002
Laearrist | Endus | The village shrine | Sat Nov  2 20:47:18 2002
Laearrist | Znerob | Grassy fields | Sat Nov  2 20:48:47 2002
Laearrist | Zauvolt | By the beautiful waterfall | Sat Nov  2 20:51:39 2002
Znerob | Ghraag | Village road | Sat Nov  2 20:53:13 2002
Endus | Zauvolt | At a muddy track | Sat Nov  2 20:53:47 2002
Znerob | Radish | The Tournament and Practice Yard | Sat Nov  2 20:57:52 2002
Laearrist | Jiscile | A Narrow Trail Through the Foothills | Sat Nov  2 21:06:20 2002
Beer | Jiscile | The Entrance | Sat Nov  2 21:08:45 2002
Laearrist | Toktamrsh | Dark hallway | Sat Nov  2 21:10:43 2002
Laearrist | Beer | The bend in the trail in the dwarf forest | Sat Nov  2 21:16:30 2002
Toktamrsh | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:18:02 2002
Beer | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:18:20 2002
Toktamrsh | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:18:55 2002
Laearrist | Ghraag | The Mouth of a Cave | Sat Nov  2 21:19:15 2002
Beer | Jiscile | Village street | Sat Nov  2 21:19:20 2002
Toktamrsh | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:19:52 2002
Laearrist | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:20:42 2002
Beer | Zauvolt | The Dark Road | Sat Nov  2 21:21:40 2002
Laearrist | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:23:20 2002
Laearrist | Zauvolt | The Mouth of a Cave | Sat Nov  2 21:25:10 2002
Laearrist | Toktamrsh | Village road | Sat Nov  2 21:27:59 2002
Endus | Zornar | By the Temple Altar | Sat Nov  2 21:32:52 2002
Laearrist | Toktamrsh | The Weapon Shop | Sat Nov  2 21:35:57 2002
Laearrist | Toktamrsh | Before the Gates of Midgaard | Sat Nov  2 21:41:49 2002
Laearrist | Endus | Market Square | Sat Nov  2 21:44:44 2002
Laearrist | Endus | Market Square | Sat Nov  2 21:48:19 2002
Gash | Zrialynith | Entrance to the Palace | Sun Nov  3 00:11:34 2002
Corvus | Thynor | The steep foothills | Sun Nov  3 11:51:10 2002
Taylor | Zrialynith | Inside the HQ | Sun Nov  3 12:08:55 2002
Zrialynith | Taylor | The Entrance | Sun Nov  3 12:10:28 2002
Taylor | Razag | Mayor's Room | Sun Nov  3 12:14:06 2002
Razag | Grikthoran | Kitchen | Sun Nov  3 12:59:28 2002
Gracklin | Razag | The Inner Gates | Sun Nov  3 13:16:44 2002
Meurk | Razag | The Stairwell | Sun Nov  3 13:18:34 2002
Gracklin | Zrialynith | Before the Imperial Road | Sun Nov  3 13:19:13 2002
Gracklin | Zrialynith | The Inner Gates | Sun Nov  3 13:20:57 2002
Gracklin | Zrialynith | The Inner Gates | Sun Nov  3 13:21:56 2002
Jiscile | Zrialynith | The Inner Gates | Sun Nov  3 13:31:53 2002
Jiscile | Razag | The Imperial Road | Sun Nov  3 13:40:12 2002
Laearrist | Benius | Terror Chamber | Sun Nov  3 13:56:08 2002
Laearrist | Benius | At a muddy track | Sun Nov  3 13:58:23 2002
Benius | Endus | Entering the village | Sun Nov  3 14:01:22 2002
Benius | Twist | Entering the village | Sun Nov  3 14:06:12 2002
Laea | Endus | At a muddy track | Sun Nov  3 14:07:52 2002
Mendel | Twist | A trail in the dwarf forest | Sun Nov  3 14:11:18 2002
Mendel | Endus | By the beautiful waterfall | Sun Nov  3 14:14:58 2002
Laea | Endus | By the beautiful waterfall | Sun Nov  3 14:18:23 2002
Laea | Endus | Grassy fields | Sun Nov  3 14:29:47 2002
Endus | Laea | By the beautiful waterfall | Sun Nov  3 14:43:23 2002
Grlath | Zrialynith | Market Square | Sun Nov  3 14:51:23 2002
Toktamrsh | Laea | The Overlook | Sun Nov  3 15:05:36 2002
Laea | Toktamrsh | At a muddy track | Sun Nov  3 15:07:28 2002
Toktamrsh | Laea | At a muddy track | Sun Nov  3 15:09:34 2002
Laea | Toktamrsh | At a muddy track | Sun Nov  3 15:14:15 2002
Grlath | Toktamrsh | At a muddy track | Sun Nov  3 15:17:00 2002
Laea | Toktamrsh | Grassy fields | Sun Nov  3 15:27:52 2002
Endus | Grlath | At a muddy track | Sun Nov  3 15:35:18 2002
Grlath | Zrialynith | By the beautiful waterfall | Sun Nov  3 15:37:40 2002
Grlath | Endus | At a muddy track | Sun Nov  3 15:39:10 2002
Laea | Zrialynith | Wall Road | Sun Nov  3 15:49:38 2002
Grlath | Zrialynith | Wall Road | Sun Nov  3 15:49:41 2002
Endus | Laea | Eastern end of Alley | Sun Nov  3 16:28:42 2002
Thyntos | Laea | Entrance to the Grunting Boar Inn | Sun Nov  3 16:35:45 2002
Laea | Nadraz | Entrance to the Grunting Boar Inn | Sun Nov  3 16:36:24 2002
Conrad | Laea | The Eastern Yard | Sun Nov  3 16:51:33 2002
Laea | Nadraz | Dark hallway | Sun Nov  3 16:56:50 2002
Laea | Conrad | The Grand Hall | Sun Nov  3 17:02:36 2002
Laea | Conrad | Within a Dark Clearing | Sun Nov  3 17:12:38 2002
Conrad | Laea | A Small Trail | Sun Nov  3 18:12:02 2002
Nesquick | Zrialynith | The Northwest Corner | Sun Nov  3 18:15:14 2002
Nesquick | Zrialynith | The Inner Gates | Sun Nov  3 18:21:07 2002
Nesquick | Zrialynith | Entrance to the Palace | Sun Nov  3 18:35:12 2002
Laea | Bluee | The Secret Yard | Sun Nov  3 18:51:34 2002
Beer | Bluee | The Entrance | Sun Nov  3 18:56:10 2002
Thomas | Bluee | The Mouth of a Cave | Sun Nov  3 19:07:30 2002
Morgoth | Morgoth | The eastern halls | Sun Nov  3 19:43:25 2002
Morgoth | Morgoth | The Void | Sun Nov  3 19:48:58 2002
Yuggle | Erith | The Hallway of Giants | Sun Nov  3 20:41:53 2002
Corvus | Bluee | Forest Road | Sun Nov  3 21:17:14 2002
Amalgameriar | Beer | Outside the East Gate of Midgaard | Sun Nov  3 21:44:47 2002
Amalgameriar | Nadraz | On a dock | Sun Nov  3 21:55:21 2002
Beer | Zrialynith | Ogier Grove | Sun Nov  3 22:01:36 2002
Raekwon | Beer | Inside the Great Hall | Sun Nov  3 22:21:52 2002
Zrialynith | Nadraz | The Mouth of a Cave | Sun Nov  3 22:31:20 2002
Feroph | Derrek | A Path from the Plains | Mon Nov  4 13:40:14 2002
Laea | Nadraz | Zeus Street | Mon Nov  4 14:55:30 2002
Laea | Nadraz | Zeus Street | Mon Nov  4 14:59:30 2002
Kalorian | Penz | The Armoury | Mon Nov  4 15:46:10 2002
Datya | Icarus | WAY Far Down into the Valley | Mon Nov  4 17:33:43 2002
Entreri | Zrialynith | Outside the East Gate of Midgaard | Mon Nov  4 19:17:41 2002
Behhulisi | Zrialynith | The Dark Alley | Mon Nov  4 19:33:40 2002
Zrialynith | Erith | The Temple Of Mota | Mon Nov  4 19:35:07 2002
Zrialynith | Erith | Arena | Mon Nov  4 19:40:25 2002
Navein | Malanduis | Kreegan's Hole in the Wall | Mon Nov  4 19:40:41 2002
Erith | Zauvolt | In the depths of the swamp | Mon Nov  4 19:44:47 2002
Quezphiel | Laea | The Plains | Mon Nov  4 20:52:58 2002
Juste | Laea | The darker dwarf forest | Mon Nov  4 22:14:07 2002
Juste | Yuggle | The dwarf forest | Mon Nov  4 22:22:28 2002
Juste | Yuggle | The Cross Roads | Mon Nov  4 22:29:05 2002
Laear | Terax | By the Temple Altar | Mon Nov  4 23:53:02 2002
Laear | Quezphiel | By the Temple Altar | Tue Nov  5 00:22:56 2002
Laear | Penz | Inside the Great Hall | Tue Nov  5 00:59:30 2002
Quezphiel | Laear | Inside the Great Hall | Tue Nov  5 01:04:43 2002
Penz | Laear | Inside the Great Hall | Tue Nov  5 01:05:01 2002
Quezphiel | Laear | Inside the Great Hall | Tue Nov  5 01:11:40 2002
Laear | Penz | Inside the Great Hall | Tue Nov  5 01:14:41 2002
Laear | Penz | In the Shaft from the Dragon Chamber | Tue Nov  5 01:24:23 2002
Laear | Penz | In the Shaft from the Dragon Chamber | Tue Nov  5 01:30:21 2002
Laear | Penz | The Entrance | Tue Nov  5 01:38:16 2002
Laear | Quezphiel | Inside the Great Hall | Tue Nov  5 01:47:22 2002
Quezphiel | Laear | The Entrance | Tue Nov  5 01:56:06 2002
Thomas | Thomas | The Entrance | Tue Nov  5 11:11:36 2002
Razag | Gracklin | On the banks of a misty river | Tue Nov  5 13:07:40 2002
Razag | Gracklin | Grubby Inn | Tue Nov  5 13:23:19 2002
Laear | Penz | Door Before the End | Tue Nov  5 14:57:05 2002
Palamor | Duhsmasher | City Entrance | Tue Nov  5 15:02:49 2002
Walker | Laear | A hallway in the castle | Tue Nov  5 17:35:48 2002
Corvus | Laear | Temple Of Stupid | Tue Nov  5 18:11:49 2002
Thomas | Corvus | The Cross Roads | Tue Nov  5 18:23:30 2002
Razag | Maelgwn | Standing in the Courtyard | Tue Nov  5 19:31:41 2002
Panoquin | Haven | By the Temple Altar | Tue Nov  5 19:58:07 2002
Nickers | Haven | The Main Street | Tue Nov  5 20:08:46 2002
Nickers | Haven | Archway before the Temple of Chaos | Tue Nov  5 20:14:10 2002
Nickers | Haven | Dark hallway | Tue Nov  5 20:22:32 2002
Haven | Maelgwn | The subconscious | Tue Nov  5 20:34:39 2002
Entreri | Ghraag | Archway before the Temple of Chaos | Tue Nov  5 20:38:19 2002
Razag | Maelgwn | The Inner Gates | Tue Nov  5 21:54:21 2002
Azuth | Maelgwn | Upon the Grassy Hills of the Downs | Tue Nov  5 22:38:43 2002
Azuth | Maelgwn | Inside the Crystal Ball | Tue Nov  5 22:45:48 2002
Corvus | Maelgwn | Black Hole | Tue Nov  5 23:00:48 2002
Ethrix | Maelgwn | The Dark Road | Tue Nov  5 23:17:38 2002
Quezphiel | Ethrix | The darker dwarf forest | Tue Nov  5 23:42:59 2002
Quezphiel | Ethrix | At a muddy track | Tue Nov  5 23:50:33 2002
Razag | Quezphiel | Market Square | Tue Nov  5 23:57:16 2002
Quezphiel | Razag | Market Square | Wed Nov  6 00:01:13 2002
Feroph | Haven | Melancholy's Room | Wed Nov  6 13:56:27 2002
Laearrist | Razag | Inside the East Gate of Midgaard | Wed Nov  6 14:57:19 2002
Zrialynith | Penz | At a muddy track | Wed Nov  6 16:27:21 2002
Raekwon | Zrialynith | Inside the East Gate of Midgaard | Wed Nov  6 18:32:22 2002
Bluee | Raekwon | Main Street | Wed Nov  6 18:36:52 2002
Raekwon | Zrialynith | The Bakery | Wed Nov  6 18:38:39 2002
Raekwon | Juste | The Bakery | Wed Nov  6 18:52:37 2002
Juste | Zrialynith | The Bakery | Wed Nov  6 18:53:42 2002
Raekwon | Bluee | The Bakery | Wed Nov  6 18:55:40 2002
Juste | Bluee | The Bakery | Wed Nov  6 18:56:07 2002
Bluee | Zrialynith | At a muddy track | Wed Nov  6 19:02:17 2002
Raekwon | Zrialynith | At a muddy track | Wed Nov  6 19:02:31 2002
Bluee | Zrialynith | At a muddy track | Wed Nov  6 19:04:28 2002
Bluee | Zrialynith | At a muddy track | Wed Nov  6 19:04:59 2002
Juste | Penz | By the beautiful waterfall | Wed Nov  6 19:11:57 2002
Juste | Penz | The dwarf forest | Wed Nov  6 19:16:12 2002
Laearrist | Zrialynith | Eastern Wing of the 2nd Level | Wed Nov  6 20:53:02 2002
Razag | Zrialynith | Southeast Corner of the 3rd Level | Wed Nov  6 20:54:35 2002
Razag | Zrialynith | Merchant's row | Wed Nov  6 21:03:52 2002
Walker | Razag | At a muddy track | Wed Nov  6 21:50:50 2002
Quezphiel | Razag | Inside the East Gate of Midgaard | Wed Nov  6 22:29:53 2002
Endus | Razag | The Northeast Corner | Wed Nov  6 22:30:54 2002
Iomas | Endus | Inside the East Gate of Midgaard | Wed Nov  6 22:44:23 2002
Iomas | Endus | Inside the East Gate of Midgaard | Wed Nov  6 22:47:59 2002
Endus | Razag | Inside the East Gate of Midgaard | Wed Nov  6 22:50:30 2002
Endus | Razag | The Main Street | Wed Nov  6 22:54:32 2002
Iomas | Endus | Inside the West Gate of Midgaard | Wed Nov  6 22:58:50 2002
Iomas | Razag | The Main Street | Wed Nov  6 23:03:54 2002
Endus | Razag | Upon the Grassy Hills of the Downs | Wed Nov  6 23:07:32 2002
Razag | Endus | Main Street | Wed Nov  6 23:11:53 2002
Endus | Razag | Wall Road | Wed Nov  6 23:16:11 2002
Endus | Razag | The Stairwell | Wed Nov  6 23:22:46 2002
Walker | Zrialynith | At a muddy track | Wed Nov  6 23:46:13 2002
Razag | Zrialynith | At a muddy track | Wed Nov  6 23:46:33 2002
Corvus | Zrialynith | The Mystical Path | Thu Nov  7 16:24:46 2002
Desharin | Zrialynith | Along the Eastern Road | Thu Nov  7 17:07:28 2002
Zrialynith | Duhsmasher | Entering the village | Thu Nov  7 17:16:46 2002
Duhsmasher | Zrialynith | The village shrine | Thu Nov  7 17:25:38 2002
Sifi | Zrialynith | By the Temple Altar | Thu Nov  7 19:22:52 2002
Bubbagump | Bubbagump | Death Row | Thu Nov  7 21:14:45 2002
Bubbagump | Bubbagump | Death Row | Fri Nov  8 11:19:48 2002
Bubbagump | Bubbagump | Death Row | Fri Nov  8 11:32:30 2002
Bubbagump | Bubbagump | Death Row | Fri Nov  8 11:39:03 2002
Laearr | Zrialynith | The Overlook | Fri Nov  8 15:36:55 2002
Laearr | Diobi | The Pet Shop | Fri Nov  8 16:05:52 2002
Xzever | Xzever | Death Row | Fri Nov  8 16:15:08 2002
Laearr | Deco | By the Temple Altar | Fri Nov  8 17:44:19 2002
